avg_spread,deg_assortativity,visibility,deg_assortativity_str
38.2,0.3161257813793155,1.0,0.32 (original)
67.6,0.3161257813793155,3.0,0.32 (original)
108.4,0.3161257813793155,5.0,0.32 (original)
100.8,0.3161257813793155,7.000000000000001,0.32 (original)
108.4,0.3161257813793155,9.0,0.32 (original)
110.0,0.3161257813793155,11.0,0.32 (original)
90.4,0.3161257813793155,13.0,0.32 (original)
109.6,0.3161257813793155,15.0,0.32 (original)
110.8,0.3161257813793155,17.0,0.32 (original)
108.6,0.3161257813793155,19.0,0.32 (original)
127.0,0.3161257813793155,21.0,0.32 (original)
64.6,0.3148708146541458,1.0,0.31
78.0,0.3148708146541458,3.0,0.31
121.2,0.3148708146541458,5.0,0.31
114.8,0.3148708146541458,7.000000000000001,0.31
121.4,0.3148708146541458,9.0,0.31
125.8,0.3148708146541458,11.0,0.31
108.2,0.3148708146541458,13.0,0.31
119.4,0.3148708146541458,15.0,0.31
100.8,0.3148708146541458,17.0,0.31
119.2,0.3148708146541458,19.0,0.31
104.0,0.3148708146541458,21.0,0.31
65.2,0.3051402169836398,1.0,0.31
117.2,0.3051402169836398,3.0,0.31
87.0,0.3051402169836398,5.0,0.31
142.2,0.3051402169836398,7.000000000000001,0.31
87.4,0.3051402169836398,9.0,0.31
143.6,0.3051402169836398,11.0,0.31
152.2,0.3051402169836398,13.0,0.31
136.8,0.3051402169836398,15.0,0.31
147.6,0.3051402169836398,17.0,0.31
165.4,0.3051402169836398,19.0,0.31
185.0,0.3051402169836398,21.0,0.31
59.4,0.290703648402119,1.0,0.29
112.4,0.290703648402119,3.0,0.29
105.6,0.290703648402119,5.0,0.29
143.2,0.290703648402119,7.000000000000001,0.29
173.6,0.290703648402119,9.0,0.29
173.4,0.290703648402119,11.0,0.29
179.6,0.290703648402119,13.0,0.29
170.8,0.290703648402119,15.0,0.29
174.2,0.290703648402119,17.0,0.29
175.4,0.290703648402119,19.0,0.29
178.8,0.290703648402119,21.0,0.29
98.0,0.27355001189740175,1.0,0.27
212.8,0.27355001189740175,3.0,0.27
208.4,0.27355001189740175,5.0,0.27
230.8,0.27355001189740175,7.000000000000001,0.27
266.4,0.27355001189740175,9.0,0.27
275.8,0.27355001189740175,11.0,0.27
245.6,0.27355001189740175,13.0,0.27
220.4,0.27355001189740175,15.0,0.27
348.6,0.27355001189740175,17.0,0.27
245.2,0.27355001189740175,19.0,0.27
226.8,0.27355001189740175,21.0,0.27
161.8,0.2397793721419453,1.0,0.24
162.0,0.2397793721419453,3.0,0.24
264.2,0.2397793721419453,5.0,0.24
212.0,0.2397793721419453,7.000000000000001,0.24
253.8,0.2397793721419453,9.0,0.24
349.8,0.2397793721419453,11.0,0.24
325.8,0.2397793721419453,13.0,0.24
359.6,0.2397793721419453,15.0,0.24
316.6,0.2397793721419453,17.0,0.24
294.6,0.2397793721419453,19.0,0.24
389.6,0.2397793721419453,21.0,0.24
109.0,0.21704663087483905,1.0,0.22
244.0,0.21704663087483905,3.0,0.22
283.4,0.21704663087483905,5.0,0.22
324.4,0.21704663087483905,7.000000000000001,0.22
353.8,0.21704663087483905,9.0,0.22
257.6,0.21704663087483905,11.0,0.22
345.8,0.21704663087483905,13.0,0.22
327.6,0.21704663087483905,15.0,0.22
241.4,0.21704663087483905,17.0,0.22
297.6,0.21704663087483905,19.0,0.22
412.6,0.21704663087483905,21.0,0.22
218.6,0.18972438134732433,1.0,0.19
258.6,0.18972438134732433,3.0,0.19
454.0,0.18972438134732433,5.0,0.19
673.6,0.18972438134732433,7.000000000000001,0.19
347.4,0.18972438134732433,9.0,0.19
421.8,0.18972438134732433,11.0,0.19
498.6,0.18972438134732433,13.0,0.19
601.2,0.18972438134732433,15.0,0.19
361.8,0.18972438134732433,17.0,0.19
462.8,0.18972438134732433,19.0,0.19
604.8,0.18972438134732433,21.0,0.19
251.2,0.16794126508781984,1.0,0.17
367.2,0.16794126508781984,3.0,0.17
349.6,0.16794126508781984,5.0,0.17
308.6,0.16794126508781984,7.000000000000001,0.17
578.6,0.16794126508781984,9.0,0.17
708.4,0.16794126508781984,11.0,0.17
619.4,0.16794126508781984,13.0,0.17
370.6,0.16794126508781984,15.0,0.17
533.0,0.16794126508781984,17.0,0.17
642.0,0.16794126508781984,19.0,0.17
718.6,0.16794126508781984,21.0,0.17
378.2,0.14911596407600908,1.0,0.15
435.6,0.14911596407600908,3.0,0.15
396.2,0.14911596407600908,5.0,0.15
912.8,0.14911596407600908,7.000000000000001,0.15
593.0,0.14911596407600908,9.0,0.15
703.6,0.14911596407600908,11.0,0.15
628.4,0.14911596407600908,13.0,0.15
459.6,0.14911596407600908,15.0,0.15
609.4,0.14911596407600908,17.0,0.15
697.8,0.14911596407600908,19.0,0.15
483.8,0.14911596407600908,21.0,0.15
326.6,0.13430689849030536,1.0,0.13
539.6,0.13430689849030536,3.0,0.13
497.0,0.13430689849030536,5.0,0.13
325.0,0.13430689849030536,7.000000000000001,0.13
421.2,0.13430689849030536,9.0,0.13
960.0,0.13430689849030536,11.0,0.13
787.8,0.13430689849030536,13.0,0.13
844.4,0.13430689849030536,15.0,0.13
663.8,0.13430689849030536,17.0,0.13
820.2,0.13430689849030536,19.0,0.13
778.0,0.13430689849030536,21.0,0.13
201.4,0.11989591646657462,1.0,0.12
633.4,0.11989591646657462,3.0,0.12
648.4,0.11989591646657462,5.0,0.12
674.8,0.11989591646657462,7.000000000000001,0.12
1273.0,0.11989591646657462,9.0,0.12
857.0,0.11989591646657462,11.0,0.12
1027.0,0.11989591646657462,13.0,0.12
1011.6,0.11989591646657462,15.0,0.12
690.0,0.11989591646657462,17.0,0.12
1081.4,0.11989591646657462,19.0,0.12
916.0,0.11989591646657462,21.0,0.12
368.0,0.10787439028403602,1.0,0.11
425.2,0.10787439028403602,3.0,0.11
616.6,0.10787439028403602,5.0,0.11
569.6,0.10787439028403602,7.000000000000001,0.11
1257.4,0.10787439028403602,9.0,0.11
1387.8,0.10787439028403602,11.0,0.11
912.8,0.10787439028403602,13.0,0.11
1126.2,0.10787439028403602,15.0,0.11
804.8,0.10787439028403602,17.0,0.11
869.6,0.10787439028403602,19.0,0.11
1007.2,0.10787439028403602,21.0,0.11
